1-Jun-2023-BF,1-Jun-2023-LN,1-Jun-2023-DN,2-Jun-2023-BF,2-Jun-2023-LN,2-Jun-2023-DN,3-Jun-2023-BF,3-Jun-2023-LN,3-Jun-2023-DN,4-Jun-2023-BF,4-Jun-2023-LN,4-Jun-2023-DN,5-Jun-2023-BF,5-Jun-2023-LN,5-Jun-2023-DN,6-Jun-2023-BF,6-Jun-2023-LN,6-Jun-2023-DN,7-Jun-2023-BF,7-Jun-2023-LN,7-Jun-2023-DN,8-Jun-2023-BF,8-Jun-2023-LN,8-Jun-2023-DN,9-Jun-2023-BF,9-Jun-2023-LN,9-Jun-2023-DN,10-Jun-2023-BF,10-Jun-2023-LN,10-Jun-2023-DN,11-Jun-2023-BF,11-Jun-2023-LN,11-Jun-2023-DN,12-Jun-2023-BF,12-Jun-2023-LN,12-Jun-2023-DN,13-Jun-2023-BF,13-Jun-2023-LN,13-Jun-2023-DN,14-Jun-2023-BF,14-Jun-2023-LN,14-Jun-2023-DN,15-Jun-2023-BF,15-Jun-2023-LN,15-Jun-2023-DN,16-Jun-2023-BF,16-Jun-2023-LN,16-Jun-2023-DN,17-Jun-2023-BF,17-Jun-2023-LN,17-Jun-2023-DN,18-Jun-2023-BF,18-Jun-2023-LN,18-Jun-2023-DN,19-Jun-2023-BF,19-Jun-2023-LN,19-Jun-2023-DN,20-Jun-2023-BF,20-Jun-2023-LN,20-Jun-2023-DN,21-Jun-2023-BF,21-Jun-2023-LN,21-Jun-2023-DN,22-Jun-2023-BF,22-Jun-2023-LN,22-Jun-2023-DN,23-Jun-2023-BF,23-Jun-2023-LN,23-Jun-2023-DN,24-Jun-2023-BF,24-Jun-2023-LN,24-Jun-2023-DN,25-Jun-2023-BF,25-Jun-2023-LN,25-Jun-2023-DN,26-Jun-2023-BF,26-Jun-2023-LN,26-Jun-2023-DN,27-Jun-2023-BF,27-Jun-2023-LN,27-Jun-2023-DN,28-Jun-2023-BF,28-Jun-2023-LN,28-Jun-2023-DN,29-Jun-2023-BF,29-Jun-2023-LN,29-Jun-2023-DN,30-Jun-2023-BF,30-Jun-2023-LN,30-Jun-2023-DN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
