1-Dec-2022-BF,1-Dec-2022-LN,1-Dec-2022-DN,2-Dec-2022-BF,2-Dec-2022-LN,2-Dec-2022-DN,3-Dec-2022-BF,3-Dec-2022-LN,3-Dec-2022-DN,4-Dec-2022-BF,4-Dec-2022-LN,4-Dec-2022-DN,5-Dec-2022-BF,5-Dec-2022-LN,5-Dec-2022-DN,6-Dec-2022-BF,6-Dec-2022-LN,6-Dec-2022-DN,7-Dec-2022-BF,7-Dec-2022-LN,7-Dec-2022-DN,8-Dec-2022-BF,8-Dec-2022-LN,8-Dec-2022-DN,9-Dec-2022-BF,9-Dec-2022-LN,9-Dec-2022-DN,10-Dec-2022-BF,10-Dec-2022-LN,10-Dec-2022-DN,11-Dec-2022-BF,11-Dec-2022-LN,11-Dec-2022-DN,12-Dec-2022-BF,12-Dec-2022-LN,12-Dec-2022-DN,13-Dec-2022-BF,13-Dec-2022-LN,13-Dec-2022-DN,14-Dec-2022-BF,14-Dec-2022-LN,14-Dec-2022-DN,15-Dec-2022-BF,15-Dec-2022-LN,15-Dec-2022-DN,16-Dec-2022-BF,16-Dec-2022-LN,16-Dec-2022-DN,17-Dec-2022-BF,17-Dec-2022-LN,17-Dec-2022-DN,18-Dec-2022-BF,18-Dec-2022-LN,18-Dec-2022-DN,19-Dec-2022-BF,19-Dec-2022-LN,19-Dec-2022-DN,20-Dec-2022-BF,20-Dec-2022-LN,20-Dec-2022-DN,21-Dec-2022-BF,21-Dec-2022-LN,21-Dec-2022-DN,22-Dec-2022-BF,22-Dec-2022-LN,22-Dec-2022-DN,23-Dec-2022-BF,23-Dec-2022-LN,23-Dec-2022-DN,24-Dec-2022-BF,24-Dec-2022-LN,24-Dec-2022-DN,25-Dec-2022-BF,25-Dec-2022-LN,25-Dec-2022-DN,26-Dec-2022-BF,26-Dec-2022-LN,26-Dec-2022-DN,27-Dec-2022-BF,27-Dec-2022-LN,27-Dec-2022-DN,28-Dec-2022-BF,28-Dec-2022-LN,28-Dec-2022-DN,29-Dec-2022-BF,29-Dec-2022-LN,29-Dec-2022-DN,30-Dec-2022-BF,30-Dec-2022-LN,30-Dec-2022-DN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
