1-Apr-2023-BF,1-Apr-2023-LN,1-Apr-2023-DN,2-Apr-2023-BF,2-Apr-2023-LN,2-Apr-2023-DN,3-Apr-2023-BF,3-Apr-2023-LN,3-Apr-2023-DN,4-Apr-2023-BF,4-Apr-2023-LN,4-Apr-2023-DN,5-Apr-2023-BF,5-Apr-2023-LN,5-Apr-2023-DN,6-Apr-2023-BF,6-Apr-2023-LN,6-Apr-2023-DN,7-Apr-2023-BF,7-Apr-2023-LN,7-Apr-2023-DN,8-Apr-2023-BF,8-Apr-2023-LN,8-Apr-2023-DN,9-Apr-2023-BF,9-Apr-2023-LN,9-Apr-2023-DN,10-Apr-2023-BF,10-Apr-2023-LN,10-Apr-2023-DN,11-Apr-2023-BF,11-Apr-2023-LN,11-Apr-2023-DN,12-Apr-2023-BF,12-Apr-2023-LN,12-Apr-2023-DN,13-Apr-2023-BF,13-Apr-2023-LN,13-Apr-2023-DN,14-Apr-2023-BF,14-Apr-2023-LN,14-Apr-2023-DN,15-Apr-2023-BF,15-Apr-2023-LN,15-Apr-2023-DN,16-Apr-2023-BF,16-Apr-2023-LN,16-Apr-2023-DN,17-Apr-2023-BF,17-Apr-2023-LN,17-Apr-2023-DN,18-Apr-2023-BF,18-Apr-2023-LN,18-Apr-2023-DN,19-Apr-2023-BF,19-Apr-2023-LN,19-Apr-2023-DN,20-Apr-2023-BF,20-Apr-2023-LN,20-Apr-2023-DN,21-Apr-2023-BF,21-Apr-2023-LN,21-Apr-2023-DN,22-Apr-2023-BF,22-Apr-2023-LN,22-Apr-2023-DN,23-Apr-2023-BF,23-Apr-2023-LN,23-Apr-2023-DN,24-Apr-2023-BF,24-Apr-2023-LN,24-Apr-2023-DN,25-Apr-2023-BF,25-Apr-2023-LN,25-Apr-2023-DN,26-Apr-2023-BF,26-Apr-2023-LN,26-Apr-2023-DN,27-Apr-2023-BF,27-Apr-2023-LN,27-Apr-2023-DN,28-Apr-2023-BF,28-Apr-2023-LN,28-Apr-2023-DN,29-Apr-2023-BF,29-Apr-2023-LN,29-Apr-2023-DN,30-Apr-2023-BF,30-Apr-2023-LN,30-Apr-2023-DN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
