1-May-2023-BF,1-May-2023-LN,1-May-2023-DN,2-May-2023-BF,2-May-2023-LN,2-May-2023-DN,3-May-2023-BF,3-May-2023-LN,3-May-2023-DN,4-May-2023-BF,4-May-2023-LN,4-May-2023-DN,5-May-2023-BF,5-May-2023-LN,5-May-2023-DN,6-May-2023-BF,6-May-2023-LN,6-May-2023-DN,7-May-2023-BF,7-May-2023-LN,7-May-2023-DN,8-May-2023-BF,8-May-2023-LN,8-May-2023-DN,9-May-2023-BF,9-May-2023-LN,9-May-2023-DN,10-May-2023-BF,10-May-2023-LN,10-May-2023-DN,11-May-2023-BF,11-May-2023-LN,11-May-2023-DN,12-May-2023-BF,12-May-2023-LN,12-May-2023-DN,13-May-2023-BF,13-May-2023-LN,13-May-2023-DN,14-May-2023-BF,14-May-2023-LN,14-May-2023-DN,15-May-2023-BF,15-May-2023-LN,15-May-2023-DN,16-May-2023-BF,16-May-2023-LN,16-May-2023-DN,17-May-2023-BF,17-May-2023-LN,17-May-2023-DN,18-May-2023-BF,18-May-2023-LN,18-May-2023-DN,19-May-2023-BF,19-May-2023-LN,19-May-2023-DN,20-May-2023-BF,20-May-2023-LN,20-May-2023-DN,21-May-2023-BF,21-May-2023-LN,21-May-2023-DN,22-May-2023-BF,22-May-2023-LN,22-May-2023-DN,23-May-2023-BF,23-May-2023-LN,23-May-2023-DN,24-May-2023-BF,24-May-2023-LN,24-May-2023-DN,25-May-2023-BF,25-May-2023-LN,25-May-2023-DN,26-May-2023-BF,26-May-2023-LN,26-May-2023-DN,27-May-2023-BF,27-May-2023-LN,27-May-2023-DN,28-May-2023-BF,28-May-2023-LN,28-May-2023-DN,29-May-2023-BF,29-May-2023-LN,29-May-2023-DN,30-May-2023-BF,30-May-2023-LN,30-May-2023-DN
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
